# Example files (used in generateExamples):
# example_braille_file = RustTestData/Nemeth.brls
# example_mathml_file = RustTestData/Nemeth.mmls
#
# Input files:
# input_braille_file = test_data/Nemeth
# input_mathml_file = test_data/MathML
#
# Configuration variables:
# braille_code = Nemeth
# gen_braille = False
# model = gemini-2.5-pro
# apiKeyName = GEMINI_API_KEY
# batch_size = 50
# n_examples = 0
# chunk = slice(0, 2160)
#
# instructions = 
# You are an expert Braille translator specializing in Nemeth braille. The user will provide a python list of strings, where each string is composed of Unicode Nemeth Braille characters.  Here are two examples: '⠠⠑⠀⠨⠅⠀⠍⠉⠘⠆' and  '⠎⠊⠝⠀⠷⠨⠹⠾'. Your task is to translate each exact Braille sequence of characters into valid MathML code. For each braille input, output ONLY the raw MathML string starting with <math> and ending with </math>. Every element in the MathML must be properly closed and nested. Do not include markdown formatting, explanations, or any other text. Do not include any newlines or carriage returns. Add '|next-item|' between each MathML output. Below are some examples of braille/MathML pairs separated by '|' that should be considered the ground truth:
# 
#
# 150 items. Usage info: prompt=6770, candidates=9071, total=116684, time=54234ms, TPS=5978.833645684048.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✓ | ⠋⠷⠭⠾ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow></math>
✗ | ⠟⠷⠭⠾⠀⠨⠅⠀⠼⠴⠨⠆⠢⠷⠭⠤⠆⠾⠘⠆⠐⠬⠆⠨⠢⠸⠲ | <math> <mrow> <mrow> <mrow> <mi>q</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mn>0.25</mn> <mo>⁢</mo> <msup> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>-</mo> <mn>2</mn> </mrow> <mo>)</mo> </mrow> <mn>2</mn> </msup> </mrow> <mo>+</mo> <mn>2.5</mn> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mrow> <mrow> <mrow> <mrow> <mrow> <mi>q</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>4</mn> </mrow> <mo>)</mo> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <msup> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>-</mo> <mn>2</mn> </mrow> <mo>)</mo> </mrow> <mn>2</mn> </msup> </mrow> <mo>+</mo> <mn>2</mn> </mrow> <mo>}</mo> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠓⠷⠞⠾⠀⠨⠅⠀⠤⠼⠂⠖⠞⠘⠆⠐⠬⠧⠴⠞⠬⠎⠴ | <math> <mrow> <mrow> <mi>h</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mrow> <mo>-</mo> <mn>16</mn> </mrow> <mo>⁢</mo> <msup> <mi>t</mi> <mn>2</mn> </msup> </mrow> <mo>+</mo> <mrow> <msub> <mi>v</mi> <mn>0</mn> </msub> <mo>⁢</mo> <mi>t</mi> </mrow> <mo>+</mo> <msub> <mi>s</mi> <mn>0</mn> </msub> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>h</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mrow> <mo>-</mo> <mn>16</mn> </mrow> <mo>⁢</mo> <msup> <mi>t</mi> <mn>2</mn> </msup> </mrow> <mo>+</mo> <mrow> <msub> <mi>v</mi> <mn>0</mn> </msub> <mo>⁢</mo> <mi>t</mi> </mrow> <mo>+</mo> <msub> <mi>s</mi> <mn>0</mn> </msub> </mrow> </mrow> </math>
✗ | ⠠⠁⠠⠧⠰⠈⠷⠒⠪⠲⠈⠾⠀⠨⠅⠀⠤⠼⠂⠢ | <math> <mrow> <mrow> <mi>A</mi> <mo>⁢</mo> <msub> <mi>V</mi> <mrow> <mo>[</mo> <mrow> <mn>3</mn> <mo>,</mo> <mn>4</mn> </mrow> <mo>]</mo> </mrow> </msub> </mrow> <mo>=</mo> <mrow> <mo>-</mo> <mn>15</mn> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>A</mi> <mo>⁢</mo> <msub> <mi>V</mi> <mrow> <mo>[</mo> <mrow> <mi>c</mi> <mo>,</mo> <mi>d</mi> </mrow> <mo>]</mo> </mrow> </msub> </mrow> <mo>=</mo> <mrow> <mo>-</mo> <mn>15</mn> </mrow> </mrow> </math>
✗ | ⠗⠷⠴⠾⠀⠨⠅⠀⠼⠂⠢ | <math> <mrow> <mrow> <mi>r</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>0</mn> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>15</mn> </mrow> </math> | <math> <mrow> <mrow> <mi>r</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>4</mn> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>15</mn> </mrow> </math>
✓ | ⠭⠀⠨⠅⠀⠤⠼⠂⠸⠲ | <math> <mrow> <mrow> <mi>x</mi> <mo>=</mo> <mrow> <mo>-</mo> <mn>1</mn> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>x</mi> <mo>=</mo> <mrow> <mo>-</mo> <mn>1</mn> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✗ | ⠏⠷⠁⠾⠀⠨⠅⠀⠼⠴ | <math> <mrow> <mrow> <mi>p</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>a</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>0</mn> </mrow> </math> | <math> <mrow> <mrow> <mi>p</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>a</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>4</mn> </mrow> </math>
✓ | ⠭⠀⠨⠅⠀⠼⠒⠸⠲ | <math> <mrow> <mrow> <mi>x</mi> <mo>=</mo> <mn>3</mn> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>x</mi> <mo>=</mo> <mn>3</mn> </mrow> <mo>.</mo> </mrow> </math>
✗ | ⠺⠷⠭⠾⠀⠨⠂⠀⠼⠴ | <math> <mrow> <mrow> <mi>w</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>&gt;</mo> <mn>0</mn> </mrow> </math> | <math> <mrow> <mrow> <mi>w</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>&gt;</mo> <mn>4</mn> </mrow> </math>
✗ | ⠗⠷⠭⠾⠀⠨⠅⠀⠹⠤⠂⠔⠷⠭⠬⠂⠂⠨⠒⠾⠘⠆⠐⠷⠭⠤⠂⠢⠨⠂⠾⠷⠭⠤⠂⠶⠨⠒⠾⠌⠲⠂⠷⠭⠬⠢⠨⠶⠾⠷⠭⠬⠂⠂⠨⠒⠾⠷⠭⠤⠦⠨⠲⠾⠷⠭⠤⠂⠢⠨⠂⠾⠼ | <math> <mrow> <mrow> <mi>r</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mrow> <mrow> <mo>-</mo> <mn>19</mn> </mrow> <mo>⁢</mo> <msup> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>+</mo> <mn>11.3</mn> </mrow> <mo>)</mo> </mrow> <mn>2</mn> </msup> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>-</mo> <mn>15.1</mn> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>-</mo> <mn>17.3</mn> </mrow> <mo>)</mo> </mrow> </mrow> <mrow> <mn>41</mn> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>+</mo> <mn>5.7</mn> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>+</mo> <mn>11.3</mn> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>-</mo> <mn>8.4</mn> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>-</mo> <mn>15.1</mn> </mrow> <mo>)</mo> </mrow> </mrow> </mfrac> </mrow> </math> | <math> <mrow> <mrow> <mi>r</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mrow> <mrow> <mo>-</mo> <mn>18</mn> </mrow> <mo>⁢</mo> <msup> <mrow> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>+</mo> <mn>11</mn> </mrow> <mo>]</mo> </mrow> <mo>)</mo> </mrow> <mn>2</mn> </msup> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mrow> <mi>x</mi> <mo>-</mo> <mn>15</mn> </mrow> <mo>&gt;</mo> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>-</mo> <mn>16</mn> </mrow> <mo>]</mo> </mrow> <mo>)</mo> </mrow> </mrow> <mrow> <mn>21</mn> <mo>⁢</mo> <mrow> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>+</mo> <mn>5</mn> </mrow> <mo>|</mo> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>+</mo> <mn>11</mn> </mrow> <mo>]</mo> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>-</mo> <mrow> <mn>6</mn> <mo>⁢</mo> <mrow> <mo>[</mo> <mo>)</mo> </mrow> </mrow> </mrow> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mrow> <mi>x</mi> <mo>-</mo> <mn>15</mn> </mrow> <mo>&gt;</mo> </mrow> <mo>)</mo> </mrow> </mrow> </mfrac> </mrow> </math>
✗ | ⠹⠋⠷⠖⠾⠤⠋⠷⠴⠾⠌⠖⠤⠴⠼ | <math> <mfrac> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>6</mn> <mo>)</mo> </mrow> </mrow> <mo>-</mo> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>0</mn> <mo>)</mo> </mrow> </mrow> </mrow> <mrow> <mn>6</mn> <mo>-</mo> <mn>0</mn> </mrow> </mfrac> </math> | <math> <mfrac> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>6</mn> <mo>)</mo> </mrow> </mrow> <mo>-</mo> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>4</mn> <mo>)</mo> </mrow> </mrow> </mrow> <mrow> <mn>6</mn> <mo>-</mo> <mn>4</mn> </mrow> </mfrac> </math>
✗ | ⠼⠆⠢⠀⠐⠅⠱⠀⠙⠀⠐⠅⠱⠀⠼⠂⠆⠢ | <math> <mrow> <mn>25</mn> <mo>≤</mo> <mi>d</mi> <mo>≤</mo> <mn>125</mn> </mrow> </math> | <math> <mrow> <mn>25</mn> <mo>&lt;</mo> <mrow> <mi>x</mi> <mo>⁢</mo> <mi>d</mi> </mrow> <mo>&lt;</mo> <mrow> <mi>x</mi> <mo>⁢</mo> <mn>125</mn> </mrow> </mrow> </math>
✗ | ⠼⠖⠲⠨⠂⠔ | <math> <mn>64.19</mn> </math> | <math> <mrow> <mn>6.2</mn> <mo>&gt;</mo> <mn>8</mn> </mrow> </math>
✗ | ⠹⠂⠦⠌⠂⠂⠼⠸⠲ | <math> <mrow> <mfrac> <mn>18</mn> <mn>11</mn> </mfrac> <mo>.</mo> </mrow> </math> | <math> <mrow> <mfrac> <mn>17</mn> <mn>11</mn> </mfrac> <mo>.</mo> </mrow> </math>
✗ | ⠋⠷⠞⠾⠀⠨⠅⠀⠼⠆⠷⠂⠨⠆⠢⠾⠘⠞ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mn>2</mn> <mo>⁢</mo> <msup> <mrow> <mo>(</mo> <mn>1.25</mn> <mo>)</mo> </mrow> <mi>t</mi> </msup> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mn>2</mn> <mo>⁢</mo> <msup> <mrow> <mrow> <mrow> <mo>(</mo> <mn>1</mn> <mo>)</mo> </mrow> <mo>⁢</mo> <mn>5</mn> </mrow> <mo>)</mo> </mrow> <mi>t</mi> </msup> </mrow> </mrow> </math>
✓ | ⠓⠷⠭⠾⠀⠨⠅ | <math> <mrow> <mrow> <mi>h</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>h</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> </mrow> </math>
✗ | ⠈⠷⠒⠠⠀⠢⠈⠾⠠ | <math> <mrow> <mrow> <mo>[</mo> <mrow> <mn>3</mn> <mo>,</mo> <mn>5</mn> </mrow> <mo>]</mo> </mrow> <mo>,</mo> </mrow> </math> | <math> <msup> <mrow> <mo>[</mo> <mrow> <msup> <mi>c</mi> <mo>′</mo> </msup> <mo>⁢</mo> <mn>5</mn> </mrow> <mo>]</mo> </mrow> <mo>′</mo> </msup> </math>
✓ | ⠇⠝⠀⠷⠁⠘⠝⠐⠾⠀⠨⠅⠀⠝⠇⠝⠀⠷⠁⠾⠸⠲ | <math> <mrow> <mrow> <mrow> <mi>ln</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <msup> <mi>a</mi> <mi>n</mi> </msup> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>n</mi> <mo>⁢</mo> <mrow> <mi>ln</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>a</mi> <mo>)</mo> </mrow> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>ln</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <msup> <mi>a</mi> <mi>n</mi> </msup> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>n</mi> <mo>⁢</mo> <mrow> <mi>ln</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>a</mi> <mo>)</mo> </mrow> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✗ | ⠭⠀⠨⠅⠀⠑⠘⠂⠴⠴⠠ | <math> <mrow> <mrow> <mi>x</mi> <mo>=</mo> <msup> <mi>e</mi> <mn>100</mn> </msup> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mi>x</mi> <mo>=</mo> <msup> <mi>e</mi> <mn>100</mn> </msup> </mrow> </math>
✗ | ⠑⠘⠂⠴⠅⠀⠨⠅⠀⠹⠲⠨⠆⠔⠦⠌⠆⠨⠲⠶⠢⠼⠸⠲ | <math> <mrow> <mrow> <msup> <mi>e</mi> <mrow> <mn>10</mn> <mo>⁢</mo> <mi>k</mi> </mrow> </msup> <mo>=</mo> <mfrac> <mn>4.298</mn> <mn>2.475</mn> </mfrac> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <msup> <mi>e</mi> <mrow> <mn>10</mn> <mo>⁢</mo> <mi>k</mi> </mrow> </msup> <mo>=</mo> <mfrac> <mrow> <mrow> <mi>d</mi> <mo>)</mo> </mrow> <mo>⁢</mo> <mn>87</mn> </mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mrow> <mo>[</mo> <mn>65</mn> </mrow> </mrow> </mfrac> </mrow> <mo>.</mo> </mrow> </math>
✗ | ⠹⠢⠌⠂⠬⠆⠑⠘⠤⠂⠴⠅⠐⠼⠀⠨⠅⠀⠼⠲ | <math> <mrow> <mfrac> <mn>5</mn> <mrow> <mn>1</mn> <mo>+</mo> <mrow> <mn>2</mn> <mo>⁢</mo> <msup> <mi>e</mi> <mrow> <mrow> <mo>-</mo> <mn>10</mn> </mrow> <mo>⁢</mo> <mi>k</mi> </mrow> </msup> </mrow> </mrow> </mfrac> <mo>=</mo> <mn>4</mn> </mrow> </math> | <math> <mrow> <mfrac> <mn>5</mn> <mrow> <mn>1</mn> <mo>+</mo> <mrow> <mn>2</mn> <mo>⁢</mo> <msup> <mi>e</mi> <mrow> <mrow> <mo>-</mo> <mn>10</mn> </mrow> <mo>⁢</mo> <mi>k</mi> </mrow> </msup> </mrow> </mrow> </mfrac> <mo>=</mo> <mn>2</mn> </mrow> </math>
✗ | ⠷⠆⠬⠭⠾⠷⠂⠤⠭⠾⠀⠨⠅⠀⠼⠴⠀⣍⠭⠀⠨⠅⠀⠤⠼⠆⠠⠀⠼⠂ | <math> <mtable> <mtr> <mtd> <mrow> <mrow> <mo>(</mo> <mrow> <mn>2</mn> <mo>+</mo> <mi>x</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mn>1</mn> <mo>-</mo> <mi>x</mi> </mrow> <mo>)</mo> </mrow> </mrow> </mtd> <mtd> <mo>=</mo> </mtd> <mtd> <mn>0</mn> </mtd> </mtr> <mtr> <mtd> <mi>x</mi> </mtd> <mtd> <mo>=</mo> </mtd> <mtd> <mrow> <mrow> <mo>-</mo> <mn>2</mn> </mrow> <mo>,</mo> <mn>1</mn> </mrow> </mtd> </mtr> </mtable> </math> | <math> <mrow> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mn>2</mn> <mo>+</mo> <mi>x</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mn>1</mn> <mo>-</mo> <mi>x</mi> </mrow> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mn>4</mn> <mo>⁢</mo> <mi>or</mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>=</mo> <mrow> <mo>-</mo> <mn>2</mn> </mrow> </mrow> <mo>,</mo> <mn>1</mn> </mrow> </math>
✗ | ⠋⠷⠭⠾⠀⠨⠅⠀⠹⠭⠘⠆⠐⠬⠭⠬⠖⠌⠭⠘⠆⠐⠤⠂⠴⠭⠬⠆⠲⠼ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mrow> <msup> <mi>x</mi> <mn>2</mn> </msup> <mo>+</mo> <mi>x</mi> <mo>+</mo> <mn>6</mn> </mrow> <mrow> <msup> <mi>x</mi> <mn>2</mn> </msup> <mo>-</mo> <mrow> <mn>10</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>+</mo> <mn>24</mn> </mrow> </mfrac> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mrow> <msup> <mi>x</mi> <mn>2</mn> </msup> <mo>+</mo> <mi>x</mi> <mo>+</mo> <mn>6</mn> </mrow> <mrow> <msup> <mi>x</mi> <mn>2</mn> </msup> <mo>-</mo> <mrow> <mn>10</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>+</mo> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>d</mi> </mrow> </mrow> </mfrac> </mrow> </math>
✓ | ⠞⠁⠝⠀⠷⠤⠞⠾⠀⠿ | <math> <mrow> <mrow> <mi>tan</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mrow> <mo>-</mo> <mi>t</mi> </mrow> <mo>)</mo> </mrow> </mrow> <mo>?</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>tan</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mrow> <mo>-</mo> <mi>t</mi> </mrow> <mo>)</mo> </mrow> </mrow> <mo>?</mo> </mrow> </math>
✓ | ⠋⠷⠭⠾⠀⠨⠅⠀⠜⠢⠬⠆⠭⠻⠸⠲ | <math> <mrow> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <msqrt> <mrow> <mn>5</mn> <mo>+</mo> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>x</mi> </mrow> </mrow> </msqrt> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <msqrt> <mrow> <mn>5</mn> <mo>+</mo> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>x</mi> </mrow> </mrow> </msqrt> </mrow> <mo>.</mo> </mrow> </math>
✗ | ⠼⠲⠭⠬⠒⠽⠀⠨⠅⠀⠼⠆⠒⠀⣍⠆⠭⠤⠽⠀⠨⠅⠀⠤⠼⠂ | <math> <mtable> <mtr> <mtd> <mrow> <mrow> <mrow> <mn>4</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>+</mo> <mrow> <mn>3</mn> <mo>⁢</mo> <mi>y</mi> </mrow> </mrow> <mo>=</mo> <mn>23</mn> </mrow> </mtd> </mtr> <mtr> <mtd> <mrow> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>-</mo> <mi>y</mi> </mrow> <mo>=</mo> <mrow> <mo>-</mo> <mn>1</mn> </mrow> </mrow> </mtd> </mtr> </mtable> </math> | <math> <mrow> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>+</mo> <mrow> <mn>3</mn> <mo>⁢</mo> <mi>y</mi> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mn>23</mn> <mo>⁢</mo> <mi>or</mi> <mo>⁢</mo> <mn>2</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>-</mo> <mi>y</mi> </mrow> <mo>=</mo> <mrow> <mo>-</mo> <mn>1</mn> </mrow> </mrow> </math>
✓ | ⠋⠷⠭⠾⠀⠨⠅⠀⠼⠆⠭⠘⠒⠐⠤⠒ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <msup> <mi>x</mi> <mn>3</mn> </msup> </mrow> <mo>-</mo> <mn>3</mn> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <msup> <mi>x</mi> <mn>3</mn> </msup> </mrow> <mo>-</mo> <mn>3</mn> </mrow> </mrow> </math>
✓ | ⠃⠘⠆⠀⠨⠅⠀⠉⠘⠆⠐⠤⠁⠘⠆⠸⠲ | <math> <mrow> <mrow> <msup> <mi>b</mi> <mn>2</mn> </msup> <mo>=</mo> <mrow> <msup> <mi>c</mi> <mn>2</mn> </msup> <mo>-</mo> <msup> <mi>a</mi> <mn>2</mn> </msup> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <msup> <mi>b</mi> <mn>2</mn> </msup> <mo>=</mo> <mrow> <msup> <mi>c</mi> <mn>2</mn> </msup> <mo>-</mo> <msup> <mi>a</mi> <mn>2</mn> </msup> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✗ | ⠼⠢⠭⠤⠽⠀⠨⠅⠀⠼⠂⠀⣍⠤⠂⠴⠭⠬⠆⠽⠀⠨⠅⠀⠤⠼⠆ | <math> <mtable> <mtr> <mtd> <mrow> <mrow> <mrow> <mn>5</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>-</mo> <mi>y</mi> </mrow> <mo>=</mo> <mn>1</mn> </mrow> </mtd> </mtr> <mtr> <mtd> <mrow> <mrow> <mrow> <mrow> <mo>-</mo> <mn>10</mn> </mrow> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>+</mo> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>y</mi> </mrow> </mrow> <mo>=</mo> <mrow> <mo>-</mo> <mn>2</mn> </mrow> </mrow> </mtd> </mtr> </mtable> </math> | <math> <mrow> <mrow> <mrow> <mn>5</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>-</mo> <mi>y</mi> </mrow> <mo>=</mo> <mrow> <mrow> <mn>1</mn> <mo>⁢</mo> <mi>or</mi> </mrow> <mo>-</mo> <mrow> <mn>10</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>+</mo> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>y</mi> </mrow> </mrow> <mo>=</mo> <mrow> <mo>-</mo> <mn>2</mn> </mrow> </mrow> </math>
✗ | ⠼⠂⠶ | <math> <mn>17</mn> </math> | <math> <mn>16</mn> </math>
✓ | ⠠⠽⠀⠨⠅ | <math> <mrow> <mi>Y</mi> <mo>=</mo> </mrow> </math> | <math> <mrow> <mi>Y</mi> <mo>=</mo> </mrow> </math>
✓ | ⠧⠴⠸⠲ | <math> <mrow> <msub> <mi>v</mi> <mn>0</mn> </msub> <mo>.</mo> </mrow> </math> | <math> <mrow> <msub> <mi>v</mi> <mn>0</mn> </msub> <mo>.</mo> </mrow> </math>
